"","year|sex|name|n|prop"
"1","1880|F|Mary|7065|0.0723843285111266"
"2","1880|F|Anna|2604|0.026679234457604197"
"3","1880|F|Emma|2003|0.020521699930330723"
"4","1880|F|Elizabeth|1939|0.019865989098807425"
"5","1880|F|Minnie|1746|0.017888611122494978"
"6","1880|F|Margaret|1578|0.016167370189746323"
"7","1880|F|Ida|1472|0.01508134912503586"
"8","1880|F|Alice|1414|0.014487111183967871"
"9","1880|F|Bertha|1320|0.013524035900168025"
"10","1880|F|Sarah|1288|0.013196180484406376"
"11","1880|F|Annie|1258|0.012888816032129831"
"12","1880|F|Clara|1226|0.012560960616368182"
"13","1880|F|Ella|1156|0.011843776894389575"
"14","1880|F|Florence|1063|0.010890947092332282"
"15","1880|F|Cora|1045|0.010706528420966354"
"16","1880|F|Martha|1040|0.010655301012253596"
"17","1880|F|Laura|1012|0.010368427523462153"
"18","1880|F|Nellie|995|0.010194254333838778"
"19","1880|F|Grace|982|0.010061063071185606"
"20","1880|F|Carrie|949|0.009722962173681406"
"21","1880|F|Maude|858|0.008790623335109217"
"22","1880|F|Mabel|808|0.00827834924798164"
"23","1880|F|Bessie|796|0.008155403467071021"
"24","1880|F|Jennie|793|0.008124667021843368"
"25","1880|F|Gertrude|787|0.008063194131388058"
"26","1880|F|Julia|783|0.008022212204417851"
"27","1880|F|Hattie|769|0.00787877546002213"
"28","1880|F|Edith|768|0.007868529978279578"
"29","1880|F|Mattie|704|0.00721281914675628"
"30","1880|F|Rose|700|0.007171837219786074"
"31","1880|F|Catherine|688|0.007048891438875456"
"32","1880|F|Lillian|672|0.006884963730994631"
"33","1880|F|Ada|652|0.0066800540961436"
"34","1880|F|Lillie|647|0.006628826687430843"
"35","1880|F|Helen|636|0.006516126388262776"
"36","1880|F|Jessie|635|0.006505880906520225"
"37","1880|F|Louise|635|0.006505880906520225"
"38","1880|F|Ethel|633|0.006485389943035122"
"39","1880|F|Lula|621|0.006362444162124503"
"40","1880|F|Myrtle|615|0.006300971271669194"
"41","1880|F|Eva|614|0.006290725789926642"
"42","1880|F|Frances|605|0.0061985164542436785"
"43","1880|F|Lena|603|0.0061780254907585755"
"44","1880|F|Lucy|590|0.006044834228105406"
"45","1880|F|Edna|588|0.006024343264620303"
"46","1880|F|Maggie|582|0.005962870374164994"
"47","1880|F|Pearl|569|0.005829679111511823"
"48","1880|F|Daisy|564|0.005778451702799066"
"49","1880|F|Fannie|560|0.00573746977582886"
"50","1880|F|Josephine|544|0.005573542067948035"
"51","1880|F|Dora|524|0.005368632433097004"
"52","1880|F|Rosa|507|0.005194459243473628"
"53","1880|F|Katherine|502|0.0051432318347608705"
"54","1880|F|Agnes|473|0.004846112864226876"
"55","1880|F|Marie|471|0.004825621900741773"
"56","1880|F|Nora|471|0.004825621900741773"
"57","1880|F|May|462|0.004733412565058809"
"58","1880|F|Mamie|436|0.004467030039752469"
"59","1880|F|Blanche|427|0.004374820704069506"
"60","1880|F|Stella|414|0.004241629441416335"
"61","1880|F|Ellen|411|0.004210892996188681"
"62","1880|F|Nancy|410|0.004200647514446129"
"63","1880|F|Effie|406|0.004159665587475923"
"64","1880|F|Sallie|404|0.00413917462399082"
"65","1880|F|Nettie|403|0.004128929142248269"
"66","1880|F|Della|391|0.00400598336133765"
"67","1880|F|Lizzie|388|0.003975246916109995"
"68","1880|F|Flora|365|0.00373960083603131"
"69","1880|F|Susie|361|0.003698618909061104"
